Model,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.989010989010989,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112
Decision Tree,1.0,0.9122807017543859,0.9558823529411765,0.9027777777777778,0.9285714285714286
Random Forest,1.0,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104
SVM,0.9824175824175824,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112
